type_habit,prix,image_lien,quartier,region
Ensemble,8000,https://images.coinafrique.com/thumb_4011467_uploaded_image1_1671194364.jpg,Dakar Plateau, Dakar
Ensemble,8000,https://images.coinafrique.com/thumb_3992649_uploaded_image1_1670106947.jpg,Dakar Plateau, Dakar
Ensemble,8000,https://images.coinafrique.com/thumb_3993222_uploaded_image1_1670158523.jpg,Dakar Plateau, Dakar
Ensemble,7000,https://images.coinafrique.com/thumb_3980382_uploaded_image1_1669402241.jpg,Dakar Plateau, Dakar
Ensemblevelours,7500,https://images.coinafrique.com/thumb_3981018_uploaded_image1_1669456009.jpg,Colobane, Dakar
Ensembleen,7500,https://images.coinafrique.com/thumb_3980114_uploaded_image1_1669389815.jpg,Colobane, Dakar
Habits,3000,https://images.coinafrique.com/thumb_4010206_uploaded_image1_1671121329.jpg,Bambey, Sénégal
Ensemble,8000,https://images.coinafrique.com/thumb_3963440_uploaded_image1_1668361934.jpg,Dakar Plateau, Dakar
Ensemble,8000,https://images.coinafrique.com/thumb_3963439_uploaded_image1_1668361869.jpg,Dakar Plateau, Dakar
Ensembleenfant,1000,https://images.coinafrique.com/thumb_4000087_uploaded_image1_1670513612.jpg,Colobane, Dakar
MaillotsSénégal,10000,https://images.coinafrique.com/thumb_3991237_uploaded_image1_1670029654.jpg,Dieuppeul-Derklé, Dakar
EnsembleRobe,28000,https://images.coinafrique.com/thumb_3990865_uploaded_image1_1670005692.jpg,Dakar, Sénégal
Costume,27000,https://images.coinafrique.com/thumb_3990863_uploaded_image1_1670005513.jpg,Dakar, Sénégal
Costume,28000,https://images.coinafrique.com/thumb_3990860_uploaded_image1_1670005358.jpg,Dakar, Sénégal
MaillotsSénégal,10000,https://images.coinafrique.com/thumb_3954905_uploaded_image1_1667839511.jpg,Dieuppeul-Derklé, Dakar
Ensemble,8500,https://images.coinafrique.com/thumb_3913283_uploaded_image1_1665352048.jpg,Dakar, Sénégal
Ensemblespull,4000,https://images.coinafrique.com/thumb_3941399_uploaded_image1_1667092572.jpg,Cambérène, Dakar
Polopour,8500,https://images.coinafrique.com/thumb_3883008_uploaded_image1_1663536149.jpg,Dakar, Sénégal
Robes,9000,https://images.coinafrique.com/thumb_3919617_uploaded_image1_1665702485.jpg,Medina, Dakar
Vêtements,10000,https://images.coinafrique.com/thumb_3919579_uploaded_image1_1665700272.jpg,Medina, Dakar
,2000,https://images.coinafrique.com/thumb_3919556_uploaded_image2_1665704351.jpeg,Medina, Dakar
Polos,5000,https://images.coinafrique.com/thumb_3913936_uploaded_image1_1665405195.jpg,Dakar, Sénégal
,7500,https://images.coinafrique.com/thumb_3913465_uploaded_image3_1665377950.jpeg,Dakar, Sénégal
Coffretnouveaux,10000,https://images.coinafrique.com/thumb_3913427_uploaded_image1_1665364741.jpg,Dakar, Sénégal
EnsembleRobe,11000,https://images.coinafrique.com/thumb_3913424_uploaded_image1_1665364359.jpg,Dakar, Sénégal
