type_chauss,prix,image_lien,quartier,region
Souliers,20000,https://images.coinafrique.com/thumb_4076000_uploaded_image1_1675335389.jpg,Dakar Plateau, Dakar
Bottes,25000,https://images.coinafrique.com/thumb_4075545_uploaded_image1_1675318520.jpg,Dakar, Sénégal
BasketsNikeAir,25000,https://images.coinafrique.com/thumb_4075540_uploaded_image1_1675318349.jpg,Dakar, Sénégal
ChaussuresStan,13000,https://images.coinafrique.com/thumb_4032731_uploaded_image1_1672771265.jpg,Dakar Plateau, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4032706_uploaded_image1_1672770651.jpg,Dakar Plateau, Dakar
ChaussuresBerluti,20000,https://images.coinafrique.com/thumb_4036478_uploaded_image1_1672947353.jpg,Sicap foire, Dakar
Chaussures,19000,https://images.coinafrique.com/thumb_4074728_uploaded_image1_1675267753.jpg,Medina, Dakar
Chaussures,13000,https://images.coinafrique.com/thumb_4074723_uploaded_image1_1675267604.jpg,Medina, Dakar
Chaussures,17000,https://images.coinafrique.com/thumb_4074718_uploaded_image1_1675267446.jpg,Medina, Dakar
Bottinesen,18000,https://images.coinafrique.com/thumb_4074044_uploaded_image1_1675252917.jpg,Dakar, Sénégal
Chaussures,28000,https://images.coinafrique.com/thumb_4073187_uploaded_image1_1675208412.jpg,Ouest Foire, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4030394_uploaded_image1_1672655798.jpg,Dakar Plateau, Dakar
ChaussuresStan,13000,https://images.coinafrique.com/thumb_4030397_uploaded_image1_1672655909.jpg,Dakar Plateau, Dakar
Chaussures,16000,https://images.coinafrique.com/thumb_4030379_uploaded_image1_1672655078.jpg,Dakar Plateau, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_4072098_uploaded_image1_1675164651.jpg,Grand Yoff, Dakar
BasketsAirForce,15000,https://images.coinafrique.com/thumb_4072095_uploaded_image1_1675164528.jpg,Grand Yoff, Dakar
Baskets,15000,https://images.coinafrique.com/thumb_4072091_uploaded_image2_1675164386.jpeg,Grand Yoff, Dakar
BasketsNikeAirForce,15000,https://images.coinafrique.com/thumb_4072088_uploaded_image1_1675164301.jpg,Grand Yoff, Dakar
ChaussuresNikeAirForce,15000,https://images.coinafrique.com/thumb_4072083_uploaded_image1_1675164232.jpg,Grand Yoff, Dakar
Baskets,20000,https://images.coinafrique.com/thumb_4033603_uploaded_image1_1672828240.jpg,Dakar Plateau, Dakar
ChaussuresBerluti,27000,https://images.coinafrique.com/thumb_4071528_uploaded_image2_1675115527.jpeg,Ouest Foire, Dakar
Sandales,10000,https://images.coinafrique.com/thumb_4070288_uploaded_image1_1675041058.jpg,Ouest Foire, Dakar
Chaussures,20000,https://images.coinafrique.com/thumb_4070241_uploaded_image1_1675034604.jpg,Dakar Plateau, Dakar
Chaussures,17000,https://images.coinafrique.com/thumb_4070235_uploaded_image1_1675033205.jpg,Dakar Plateau, Dakar
Chaussures,25000,https://images.coinafrique.com/thumb_4070188_uploaded_image1_1675030613.jpg,Grand Dakar, Dakar
