type_chauss,prix,image_lien,quartier,region
Chaussures,10000,https://images.coinafrique.com/thumb_961311_uploaded_image1_1568849341.17.png,Dakar, Sénégal
Chaussuresetsacs-,15000,https://images.coinafrique.com/thumb_947507_uploaded_image1_1568567749.69.png,Saly, Sénégal
BasketsLacoste-,15000,https://images.coinafrique.com/thumb_919329_uploaded_image1_1567854794.2.png,Mermoz-Sacré-Cœur, Dakar
Chaussures,10000,https://images.coinafrique.com/thumb_919324_uploaded_image1_1567854655.1.png,Sénégal,
Chaussuresenfants,7000,https://images.coinafrique.com/thumb_905654_uploaded_image1_1567532748.81.png,Sénégal,
,12000,https://images.coinafrique.com/thumb_902727_uploaded_image1_1567471565.75.png,Dakar, Sénégal
Chaussures,12000,https://images.coinafrique.com/thumb_902724_uploaded_image1_1567471369.88.png,Dakar, Sénégal
Chaussures,10000,https://images.coinafrique.com/thumb_894314_uploaded_image1_1567188587.1.png,Sénégal,
Claquettes,8000,https://images.coinafrique.com/thumb_894267_uploaded_image1_1567187400.66.png,Sénégal,
Chaussures,15000,https://images.coinafrique.com/thumb_894226_uploaded_image1_1567186853.35.png,Sénégal,
Chaussures,8000,https://images.coinafrique.com/thumb_894185_uploaded_image1_1567186147.73.png,Sénégal,
Mocassins,6000,https://images.coinafrique.com/thumb_891362_uploaded_image1_1567122545.1.png,Les Parcelles Assainies, Dakar
Chaussurespour,13000,https://images.coinafrique.com/thumb_884530_uploaded_image1_1566983419.29.png,Sénégal,
Chaussures,7500,https://images.coinafrique.com/thumb_878809_uploaded_image1_1566841399.24.png,Cambérène, Dakar
Chaussures,7500,https://images.coinafrique.com/thumb_878800_uploaded_image1_1566841283.51.png,Sénégal,
Ensemble,15000,https://images.coinafrique.com/thumb_861833_uploaded_image1_1566391948.31.png,Cambérène, Dakar
Chaussures,6000,https://images.coinafrique.com/thumb_854221_uploaded_image1_1566227990.03.png,Les Parcelles Assainies, Dakar
Chaussures,8500,https://images.coinafrique.com/thumb_848875_uploaded_image1_1566050610.48.png,Cambérène, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_838285_uploaded_image1_1565733521.41.png,Les Parcelles Assainies, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_825843_uploaded_image1_1565308869.98.png,Les Parcelles Assainies, Dakar
Chaussures,8000,https://images.coinafrique.com/thumb_824543_uploaded_image1_1565279780.97.png,Les Parcelles Assainies, Dakar
Chaussures,4000,https://images.coinafrique.com/thumb_792468_uploaded_image1_1564410485.85.png,Sénégal,
